Obs_ID,Date,Year,Month,Month_Name,Day_of_Week,Ticker,Company,Sector,Market_Cap_Category,Open,High,Low,Close,Volume,VWAP,Price_Range,Daily_Return_Pct,Beta,RSI,MA_20,MA_50,BB_Signal,PE_Ratio,Market_Cap_Billions,Dividend_Yield,Market_Regime,Trading_Signal,Price_Up
1,2021-01-04,2021,01,January,Monday,AAPL,Apple Inc.,Technology,Large Cap,150.0,150.07,149.31,149.73,4894994,149.48,0.76,-0.1796,1.3,51.12,149.13,148.92,Above,25.93,1250.01,0.8491,Bull,Hold,0
2,2021-01-04,2021,01,January,Monday,MSFT,Microsoft Corp.,Technology,Large Cap,280.0,281.57,279.17,281.45,3657883,280.8,2.4,0.5172,1.3,58.11,281.63,280.7,Below,29.25,1637.95,0.4063,Bull,Buy,1
3,2021-01-04,2021,01,January,Monday,GOOGL,Alphabet Inc.,Technology,Large Cap,2800.0,2820.39,2797.3,2810.57,5774982,2810.12,23.09,0.3775,1.3,55.04,2763.64,2850.5,Above,12.88,11439.25,0.3179,Bull,Buy,1
4,2021-01-04,2021,01,January,Monday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3400.0,3411.91,3363.81,3372.77,3425424,3385.7,48.1,-0.801,1.2,42.59,3368.41,3347.99,Above,25.92,31123.77,0.6915,Bull,Sell,0
5,2021-01-04,2021,01,January,Monday,JPM,JPMorgan Chase,Financials,Large Cap,155.0,155.81,154.7,155.41,4167019,155.2,1.11,0.2648,1.1,48.44,156.57,154.44,Below,43.69,1052.29,0.6209,Bull,Hold,1
6,2021-01-04,2021,01,January,Monday,BAC,Bank of America,Financials,Large Cap,42.0,42.5,41.92,42.26,6639217,42.29,0.58,0.6164,1.1,51.38,41.36,41.7,Above,32.62,246.57,1.5268,Bull,Buy,1
7,2021-01-04,2021,01,January,Monday,XOM,ExxonMobil Corp.,Energy,Large Cap,85.0,85.27,84.75,85.16,5982082,85.26,0.52,0.1889,0.9,53.67,84.38,83.96,Above,18.35,802.92,1.0465,Bull,Hold,1
8,2021-01-04,2021,01,January,Monday,JNJ,Johnson & Johnson,Healthcare,Large Cap,165.0,165.49,164.39,164.87,4594866,164.61,1.1,-0.0775,0.7,44.36,163.47,166.58,Above,34.55,1314.39,1.7091,Bull,Hold,0
9,2021-01-04,2021,01,January,Monday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.0,48.27,47.83,48.06,5476860,48.0,0.44,0.1226,0.7,54.88,48.33,49.53,Below,24.76,525.28,1.2129,Bull,Hold,1
10,2021-01-04,2021,01,January,Monday,WMT,Walmart Inc.,Consumer Staples,Large Cap,140.0,141.92,139.71,141.85,3744655,141.14,2.21,1.3223,0.6,61.08,143.59,144.29,Below,5.99,1286.08,1.9447,Bull,Buy,1
11,2021-01-05,2021,01,January,Tuesday,AAPL,Apple Inc.,Technology,Large Cap,149.73,149.73,147.4,148.42,3717373,148.45,2.33,-0.8779,1.3,54.18,147.43,147.07,Above,25.78,911.01,0.566,Bull,Sell,0
12,2021-01-05,2021,01,January,Tuesday,MSFT,Microsoft Corp.,Technology,Large Cap,281.45,282.45,277.6,277.6,9576882,279.3,4.85,-1.367,1.3,52.73,272.17,276.75,Above,27.59,2947.72,0,Bull,Sell,0
13,2021-01-05,2021,01,January,Tuesday,GOOGL,Alphabet Inc.,Technology,Large Cap,2810.57,2830.77,2793.33,2824.09,6360584,2816.21,37.44,0.4812,1.3,48.84,2771.22,2837.89,Above,23.47,31150.85,0.3167,Bull,Buy,1
14,2021-01-05,2021,01,January,Tuesday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3372.77,3393.94,3365.59,3370.92,5421278,3379.6,28.35,-0.0548,1.2,57.08,3368.69,3276.77,Above,28.66,29581.44,0.6475,Bull,Hold,0
15,2021-01-05,2021,01,January,Tuesday,JPM,JPMorgan Chase,Financials,Large Cap,155.41,156.11,153.98,154.03,6585255,154.9,2.13,-0.8852,1.1,50.39,154.69,162.32,Below,26.95,1163.86,1.5896,Bull,Sell,0
16,2021-01-05,2021,01,January,Tuesday,BAC,Bank of America,Financials,Large Cap,42.26,42.68,42.17,42.66,7438020,42.48,0.51,0.9486,1.1,44.21,42.85,42.91,Below,20.14,397.02,1.9861,Bull,Buy,1
17,2021-01-05,2021,01,January,Tuesday,XOM,ExxonMobil Corp.,Energy,Large Cap,85.16,85.34,84.17,84.24,3074866,84.62,1.17,-1.0788,0.9,46.54,83.3,85.34,Above,28.9,600.94,1.8203,Bull,Sell,0
18,2021-01-05,2021,01,January,Tuesday,JNJ,Johnson & Johnson,Healthcare,Large Cap,164.87,166.43,164.62,165.96,5336250,166.05,1.81,0.6637,0.7,42.68,167.69,164.69,Below,24.2,1801.06,1.4931,Bull,Buy,1
19,2021-01-05,2021,01,January,Tuesday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.06,48.96,47.99,48.87,4985758,48.57,0.97,1.6934,0.7,55.39,48.66,49.12,Above,8.16,537.75,1.3664,Bull,Strong Buy,1
20,2021-01-05,2021,01,January,Tuesday,WMT,Walmart Inc.,Consumer Staples,Large Cap,141.85,144.28,141.68,143.7,11016591,143.1,2.6,1.3021,0.6,46.43,142.52,145.4,Above,30.55,1427.74,1.2944,Bull,Buy,1
21,2021-01-06,2021,01,January,Wednesday,AAPL,Apple Inc.,Technology,Large Cap,148.42,149.16,145.87,146.14,2381956,147.05,3.29,-1.5372,1.3,52.38,150.8,148.19,Below,27.47,897.25,0.247,Bull,Strong Sell,0
22,2021-01-06,2021,01,January,Wednesday,MSFT,Microsoft Corp.,Technology,Large Cap,277.6,278.16,273.82,274.46,4767635,275.16,4.34,-1.1323,1.3,42.71,269.7,278.87,Above,6.5,2058.47,0.635,Bull,Sell,0
23,2021-01-06,2021,01,January,Wednesday,GOOGL,Alphabet Inc.,Technology,Large Cap,2824.09,2827.91,2812.78,2827.1,4448473,2820.5,15.13,0.1067,1.3,46.95,2891.87,2897.37,Below,28.9,36739.3,0.4903,Bull,Hold,1
24,2021-01-06,2021,01,January,Wednesday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3370.92,3375.07,3349.05,3352.03,8949261,3363.78,26.02,-0.5605,1.2,41.32,3331.93,3387.92,Above,31.27,20036.19,0,Bull,Sell,0
25,2021-01-06,2021,01,January,Wednesday,JPM,JPMorgan Chase,Financials,Large Cap,154.03,154.07,149.98,150.04,6948510,151.25,4.09,-2.5928,1.1,36.1,145.49,151.27,Above,27.96,1423.8,2.1326,Bull,Strong Sell,0
26,2021-01-06,2021,01,January,Wednesday,BAC,Bank of America,Financials,Large Cap,42.66,42.89,42.15,42.17,4470427,42.38,0.74,-1.1517,1.1,43.62,40.8,42.33,Above,27.0,314.44,0.9289,Bull,Sell,0
